Population_ID,Generation,Population_Size,Mutation_Rate,Migration_Rate,Trait_Frequency_A,Trait_Frequency_B,Fitness_A,Fitness_B,Selection_Pressure,Gene_Expression_Levels,Allele_Frequencies,Heritability,Epistasis_Index,Inbreeding_Coefficient,Genetic_Drift_Index
Pop4,4,1553,0.00471,0.065,0.335,0.665,0.78,0.9,0.87,0.79122914,0.313578391,0.598273812,0.413503937,0.057498438,0.178690237
Pop3,3,1554,0.00417,0.056,0.388,0.612,0.72,0.85,0.85,1.111852895,0.578968107,0.778036661,0.21430333,0.102825993,0.150039117
Pop5,3,959,0.00258,0.017,0.535,0.465,0.99,0.96,1.03,0.639493861,0.418939603,0.53610091,0.273106752,0.060132896,0.115309449
Pop2,2,1955,0.0009,0.095,0.316,0.684,0.85,0.72,1.18,0.792144649,0.669758478,0.762093477,0.374177553,0.168095961,0.192968017
Pop1,2,1058,0.00324,0.081,0.683,0.317,0.94,0.91,1.03,0.866361843,0.688423298,0.231354728,0.232982463,0.206516171,0.15788678
Pop4,3,1994,0.00127,0.095,0.373,0.627,0.95,0.99,0.96,0.956069984,0.677706596,0.451275991,0.122634262,0.168273033,0.18952478
Pop5,2,1632,0.00088,0.027,0.439,0.561,0.98,0.76,1.29,1.285175961,0.489685687,0.356094675,0.249568419,0.206087612,0.129138196
Pop1,4,766,0.00482,0.097,0.524,0.476,0.73,0.91,0.8,0.699673782,0.64481706,0.638492579,0.477779433,0.099248041,0.088835641
Pop1,3,1648,0.00277,0.026,0.491,0.509,0.98,0.71,1.38,1.014234438,0.637819759,0.788778254,0.356693759,0.039079243,0.057924003
Pop3,4,777,0.00461,0.075,0.326,0.674,0.93,0.85,1.09,1.092414569,0.427640189,0.353918037,0.368591659,0.184487737,0.158912728
Pop1,4,1998,0.00486,0.081,0.49,0.51,0.95,0.7,1.36,0.546450413,0.63156619,0.592504761,0.352912861,0.090118626,0.06819545
Pop1,5,1735,0.00422,0.084,0.495,0.505,0.78,0.78,1,1.107544852,0.314803054,0.31885858,0.179596856,0.167817706,0.095416269
Pop3,4,904,0.00239,0.083,0.33,0.67,0.87,0.75,1.16,0.670524124,0.538507951,0.539198153,0.267333546,0.067660985,0.129870636
Pop3,3,1265,0.00324,0.063,0.564,0.436,0.7,0.93,0.75,0.565051593,0.392003535,0.478359492,0.400375919,0.020307409,0.134662488
Pop3,1,1262,0.00244,0.065,0.543,0.457,0.82,0.87,0.94,1.448885537,0.348226754,0.783203198,0.140549159,0.248145449,0.14008748
Pop4,3,1482,0.00184,0.075,0.543,0.457,0.9,0.74,1.22,1.465632033,0.330781281,0.565116364,0.21114111,0.039050377,0.0749383
Pop4,4,1723,0.00345,0.053,0.401,0.599,0.82,0.89,0.92,1.308397348,0.57851551,0.409703823,0.210527643,0.247105248,0.106960611
Pop5,5,1509,0.00352,0.019,0.352,0.648,0.74,0.88,0.84,0.804613769,0.435949986,0.268457471,0.272807571,0.244319983,0.142579134
Pop2,3,1267,0.00158,0.052,0.411,0.589,0.9,0.97,0.93,0.597672114,0.589906709,0.290748097,0.492147496,0.198454526,0.19547283
Pop5,3,1635,0.00492,0.048,0.313,0.687,0.85,0.82,1.04,1.184233027,0.326142536,0.335190158,0.127001019,0.164855741,0.159144671
Pop3,2,786,0.00115,0.043,0.342,0.658,0.97,0.91,1.07,0.940152494,0.426116135,0.350579997,0.307480398,0.144451763,0.188390564
Pop5,4,1231,0.00479,0.073,0.682,0.318,0.76,0.93,0.82,0.622038235,0.515796517,0.710369635,0.171745873,0.216525386,0.164331809
Pop5,5,1040,0.0014,0.02,0.467,0.533,0.94,0.81,1.16,0.99517691,0.616289266,0.536733673,0.488270618,0.07235988,0.138757545
Pop5,2,1266,0.00475,0.048,0.586,0.414,0.84,0.93,0.9,0.534388521,0.427501001,0.514034547,0.145321402,0.116920303,0.078803505
Pop4,4,1441,0.00173,0.095,0.698,0.302,0.91,0.95,0.96,1.409320402,0.550356551,0.268861323,0.261440401,0.154847492,0.150002848
Pop4,2,1705,0.00201,0.033,0.61,0.39,0.86,0.97,0.89,0.758779982,0.654391099,0.716083816,0.395153994,0.102797619,0.143506935
Pop3,5,1217,0.00162,0.043,0.517,0.483,0.77,0.83,0.93,1.162522284,0.546345275,0.633688582,0.381821771,0.106871614,0.140370376
Pop3,3,1332,0.00148,0.047,0.502,0.498,0.95,0.81,1.17,0.811711076,0.39318379,0.240601017,0.269091455,0.082571167,0.12346788
Pop3,5,562,0.00387,0.066,0.482,0.518,0.73,0.77,0.95,1.020068021,0.309760313,0.624701058,0.238609667,0.141057954,0.129298491
Pop5,1,1004,0.00247,0.022,0.428,0.572,0.81,0.77,1.05,1.046710279,0.64803955,0.52612293,0.259044951,0.212643632,0.100166379
Pop2,2,1305,0.00131,0.047,0.503,0.497,0.98,0.88,1.11,0.684854456,0.308507764,0.249035207,0.205710505,0.050382095,0.127896904
Pop5,4,1265,0.00065,0.038,0.619,0.381,0.96,0.86,1.12,1.469584628,0.649880669,0.474980385,0.182133175,0.23360826,0.079633386
Pop3,2,511,0.00225,0.062,0.309,0.691,0.91,0.85,1.07,1.275132823,0.511574854,0.490817772,0.293215879,0.172271913,0.17077616
Pop3,4,1271,0.00115,0.049,0.585,0.415,0.95,0.84,1.13,1.439498942,0.675627079,0.299464724,0.207413502,0.205818303,0.077866543
Pop5,3,921,0.00175,0.035,0.694,0.306,0.9,0.95,0.95,1.39482735,0.619513294,0.767418888,0.214984666,0.139047673,0.062744943
Pop4,5,1169,0.00368,0.048,0.611,0.389,1,0.93,1.08,1.097899979,0.699173644,0.709985223,0.362702425,0.194879175,0.115436904
Pop3,3,1149,0.00163,0.099,0.684,0.316,0.75,0.91,0.82,1.421874235,0.440284726,0.601413402,0.487414933,0.004050099,0.148746116
Pop4,5,976,0.00354,0.058,0.602,0.398,0.97,0.83,1.17,0.588492502,0.606875316,0.477377337,0.34145488,0.204595106,0.115657524
Pop4,1,1951,0.00468,0.037,0.683,0.317,0.92,0.98,0.94,0.695982862,0.460772365,0.447059325,0.130791787,0.010034715,0.09151312
Pop3,3,1367,0.00255,0.053,0.381,0.619,0.91,0.75,1.21,0.545227289,0.491950248,0.59058408,0.130233446,0.222478344,0.133725678
Pop5,3,1173,0.00308,0.01,0.495,0.505,0.89,0.76,1.17,0.825330331,0.551002185,0.527259122,0.480569288,0.247990687,0.10205035
Pop3,3,1988,0.00372,0.062,0.361,0.639,0.95,0.94,1.01,0.88867729,0.649470846,0.237363864,0.218916316,0.073516866,0.189930154
Pop3,4,1238,0.00294,0.026,0.661,0.339,0.79,0.8,0.99,0.771349032,0.693633388,0.507501589,0.136826794,0.052579639,0.188396771
Pop4,4,1538,0.00353,0.027,0.551,0.449,0.94,0.78,1.21,1.328737509,0.607309366,0.68384217,0.339617835,0.191340841,0.125355773
Pop5,2,1631,0.00155,0.079,0.454,0.546,0.86,0.76,1.13,0.856753327,0.467106713,0.475543927,0.349459511,0.063256585,0.099182599
Pop4,2,1355,0.00236,0.026,0.533,0.467,0.94,0.84,1.12,0.78093451,0.468542801,0.231173947,0.359401928,0.216390596,0.160569862
Pop4,2,1347,0.00098,0.038,0.42,0.58,0.87,0.93,0.94,1.042696083,0.595032921,0.67176692,0.206960811,0.025710648,0.055506942
Pop2,4,1004,0.00056,0.065,0.619,0.381,0.98,0.98,1,0.640924225,0.395510858,0.320818269,0.106044274,0.031488799,0.121215351
Pop3,1,1276,0.00112,0.07,0.45,0.55,0.8,0.86,0.93,1.302196981,0.344189645,0.355172501,0.486006148,0.244787889,0.100448509
Pop4,4,1015,0.0012,0.021,0.33,0.67,0.77,0.72,1.07,0.574550644,0.441848863,0.298823812,0.200357218,0.168459725,0.188080383
Pop5,2,541,0.0012,0.03,0.629,0.371,0.88,0.96,0.92,1.486886937,0.414895597,0.398129039,0.370410515,0.211721806,0.051800454
Pop4,5,1447,0.00368,0.089,0.352,0.648,0.74,0.76,0.97,1.272244769,0.418523248,0.654050903,0.382651948,0.081082344,0.132922231
Pop1,5,955,0.00221,0.01,0.493,0.507,0.84,0.78,1.08,0.698715682,0.3934431,0.511631516,0.344002967,0.169120937,0.161099537
Pop5,3,1521,0.00199,0.072,0.472,0.528,0.82,0.86,0.95,0.505522117,0.316837276,0.322928764,0.225162958,0.148560457,0.122752698
Pop1,4,503,0.00255,0.079,0.329,0.671,0.78,0.74,1.05,1.315461428,0.307149574,0.726698047,0.208438502,0.15078753,0.062810455
Pop2,5,1759,0.00432,0.043,0.449,0.551,0.79,1,0.79,1.206857344,0.695088956,0.727749113,0.339067313,0.170633115,0.195869209
Pop1,1,1782,0.00479,0.096,0.575,0.425,0.71,0.86,0.83,1.229007168,0.471109253,0.722347055,0.446438253,0.143839793,0.127701565
Pop2,5,880,0.00239,0.04,0.306,0.694,0.98,0.87,1.13,1.271270347,0.453730659,0.343277727,0.478693492,0.107265592,0.142127937
Pop1,3,893,0.00445,0.054,0.647,0.353,0.82,0.75,1.09,0.574044652,0.571858913,0.470743607,0.142362322,0.068980674,0.085491467
Pop5,2,925,0.00121,0.079,0.324,0.676,0.96,0.89,1.08,0.858465729,0.387301555,0.790993794,0.161931445,0.192145333,0.122524713
Pop5,4,1787,0.00209,0.015,0.316,0.684,0.96,0.98,0.98,0.61586906,0.679984474,0.663207486,0.477894504,0.056568108,0.114372424
Pop5,4,1490,0.00151,0.044,0.329,0.671,0.84,0.83,1.01,1.363103426,0.614538006,0.216300453,0.394614091,0.173088577,0.061234376
Pop1,4,1791,0.00143,0.098,0.615,0.385,0.91,0.83,1.1,1.123298127,0.335764401,0.239122755,0.45319753,0.058333206,0.065924053
Pop3,2,1722,0.00155,0.056,0.451,0.549,0.88,0.7,1.26,0.830898025,0.46703231,0.478358826,0.181053054,0.156332542,0.175620878
Pop5,5,1677,0.0008,0.017,0.522,0.478,0.9,0.71,1.27,0.56355835,0.651647323,0.745532124,0.335034348,0.186769567,0.085972993
Pop4,3,1239,0.00427,0.048,0.616,0.384,0.72,0.9,0.8,0.810982322,0.677892809,0.523221079,0.380455838,0.054678472,0.079243741
Pop2,5,1000,0.0029,0.098,0.332,0.668,0.86,0.86,1,0.825183322,0.486960604,0.498687505,0.372044754,0.014985825,0.125736718
Pop5,3,1829,0.00272,0.031,0.393,0.607,0.99,0.84,1.18,1.229606178,0.545364556,0.26328422,0.263260676,0.032743436,0.16531207
Pop2,3,1581,0.00427,0.013,0.493,0.507,0.88,0.95,0.93,1.137557471,0.366813578,0.594068063,0.106157957,0.151499242,0.059291978
Pop4,5,613,0.00168,0.022,0.511,0.489,0.94,0.71,1.32,1.387212743,0.69646745,0.693261896,0.333170423,0.212361602,0.136521188
Pop1,2,1326,0.00223,0.092,0.66,0.34,0.91,0.98,0.93,0.972214925,0.392668681,0.428252005,0.201240616,0.011249205,0.067881566
Pop2,2,783,0.00373,0.018,0.555,0.445,0.73,0.87,0.84,0.619594246,0.67709271,0.665367111,0.280101698,0.183537815,0.055469158
Pop4,4,1579,0.00083,0.046,0.326,0.674,0.81,0.79,1.03,1.213244787,0.55985866,0.778685992,0.483032406,0.085329661,0.057911593
Pop2,2,1438,0.00292,0.08,0.401,0.599,0.85,0.83,1.02,1.260785049,0.543094718,0.322259875,0.259614127,0.119632092,0.175124616
Pop4,5,1824,0.00213,0.078,0.346,0.654,0.71,0.77,0.92,1.061277198,0.505075404,0.513997779,0.435920643,0.232214887,0.067695873
Pop3,5,1486,0.0009,0.083,0.599,0.401,0.74,0.98,0.76,1.27096718,0.392267925,0.372282775,0.175416242,0.082992876,0.056772705
Pop2,5,976,0.00235,0.048,0.566,0.434,0.92,0.97,0.95,0.993795596,0.370611213,0.675712651,0.368984199,0.116334233,0.115684983
Pop1,4,1084,0.00236,0.02,0.561,0.439,0.83,0.97,0.86,1.022732829,0.388194484,0.54655602,0.490802782,0.003420604,0.176599021
Pop4,2,881,0.00453,0.045,0.352,0.648,0.94,0.76,1.24,0.927541018,0.374575305,0.580749451,0.14075724,0.02039968,0.089361256
Pop2,4,1889,0.00235,0.055,0.437,0.563,0.86,0.95,0.91,0.525419127,0.611833789,0.678748496,0.103327977,0.064647898,0.113256893
Pop2,4,1904,0.00151,0.073,0.598,0.402,0.8,0.86,0.93,0.607891427,0.440050104,0.437582284,0.273433117,0.00696306,0.05598838
Pop3,1,1774,0.00404,0.054,0.476,0.524,0.96,0.91,1.05,0.531429186,0.323137071,0.749054041,0.137050193,0.157843832,0.117361777
Pop3,2,1322,0.00116,0.047,0.536,0.464,0.91,0.71,1.28,1.136410411,0.687641052,0.51981732,0.39935374,0.106599589,0.136641962
Pop5,2,1052,0.00224,0.022,0.36,0.64,0.94,0.99,0.95,0.814355981,0.653514354,0.294772894,0.465819466,0.137036301,0.135636058
Pop4,5,1955,0.00125,0.023,0.37,0.63,0.73,0.76,0.96,1.008570691,0.671100913,0.617539471,0.273608389,0.043661796,0.099864004
Pop4,2,858,0.00236,0.091,0.6,0.4,0.83,0.78,1.06,1.407566474,0.697963129,0.67595681,0.203484657,0.073983007,0.097329977
Pop3,3,1767,0.00466,0.092,0.39,0.61,0.96,0.96,1,0.749292229,0.3695581,0.390057006,0.273761328,0.165956119,0.065993543
Pop2,5,1119,0.00089,0.062,0.408,0.592,0.96,0.99,0.97,0.910382923,0.458496808,0.714307554,0.389379127,0.241325681,0.105019748
Pop4,4,697,0.00251,0.053,0.529,0.471,0.86,0.98,0.88,1.255551139,0.60329539,0.743685953,0.103621665,0.012604193,0.0649242
Pop3,1,1803,0.00278,0.057,0.56,0.44,0.99,0.84,1.18,0.728798165,0.578408247,0.366142692,0.335781596,0.22259608,0.164989392
Pop1,3,799,0.00084,0.049,0.587,0.413,0.75,0.89,0.84,0.57697991,0.361558363,0.790112884,0.345316674,0.1442203,0.194941145
Pop1,3,562,0.00291,0.011,0.409,0.591,0.86,0.75,1.15,0.789751453,0.62633325,0.284426917,0.355075299,0.140979892,0.195511169
Pop3,3,984,0.00425,0.017,0.402,0.598,1,0.98,1.02,0.661221287,0.389776229,0.321209401,0.196808832,0.125069634,0.179760665
Pop4,4,836,0.00225,0.096,0.575,0.425,0.77,0.9,0.86,1.429697652,0.389527046,0.310534904,0.385621089,0.017348521,0.140118822
Pop5,1,966,0.00192,0.07,0.635,0.365,0.94,0.85,1.11,1.30812038,0.514789769,0.736393826,0.136556595,0.022469213,0.155129855
Pop1,5,968,0.0008,0.017,0.616,0.384,0.72,0.87,0.83,1.133403757,0.537175974,0.592575531,0.179708135,0.150228001,0.09278087
Pop1,2,1999,0.00464,0.06,0.505,0.495,0.73,0.73,1,1.37146059,0.532034483,0.29126257,0.450988019,0.085239643,0.144615563
Pop5,2,1730,0.00462,0.013,0.435,0.565,0.9,0.8,1.12,1.303672077,0.336594735,0.464194051,0.39548926,0.229317017,0.118347432
Pop1,3,727,0.00245,0.094,0.581,0.419,0.74,0.83,0.89,0.686570059,0.650984345,0.569178815,0.105498222,0.101647634,0.122302601
Pop5,1,1945,0.00125,0.063,0.36,0.64,0.81,1,0.81,1.392558998,0.406240017,0.250078451,0.199350504,0.035820365,0.163666484
Pop5,3,1496,0.00451,0.061,0.582,0.418,0.76,0.73,1.04,1.039342242,0.351805969,0.729449821,0.185762593,0.178679708,0.092287753
Pop4,2,1369,0.00349,0.062,0.428,0.572,0.82,0.88,0.93,1.307440155,0.655499232,0.682162121,0.208322531,0.073338355,0.097705942
Pop2,2,1179,0.00268,0.047,0.328,0.672,0.99,0.8,1.24,1.3960913,0.682260599,0.503124064,0.199023908,0.131367577,0.188696269
Pop5,1,1920,0.00361,0.018,0.409,0.591,0.87,0.86,1.01,0.818003475,0.644851047,0.780275969,0.125010518,0.174458196,0.058433644
Pop4,1,1515,0.00088,0.022,0.609,0.391,0.76,1,0.76,0.610051925,0.62380643,0.450656588,0.283576207,0.225066028,0.122845145
Pop5,1,1600,0.00232,0.012,0.439,0.561,0.86,0.97,0.89,0.727935163,0.562096792,0.790466191,0.39309339,0.198047799,0.18692012
Pop4,1,547,0.00262,0.061,0.61,0.39,0.74,0.72,1.03,0.927107789,0.520342948,0.600751999,0.34269269,0.169090267,0.141554451
Pop4,1,1357,0.00446,0.063,0.506,0.494,0.74,0.99,0.75,1.318014766,0.334794704,0.580802764,0.369148667,0.169908296,0.131961061
Pop1,1,832,0.0028,0.053,0.526,0.474,0.88,0.85,1.04,1.360730583,0.463381285,0.299572937,0.132459671,0.236481161,0.087461627
Pop1,2,629,0.00084,0.059,0.693,0.307,0.88,0.98,0.9,0.506952131,0.449075407,0.729156655,0.480596284,0.073956024,0.101491323
Pop1,1,1221,0.00441,0.072,0.394,0.606,0.92,0.8,1.15,1.010747303,0.403901514,0.456493813,0.435396734,0.000278024,0.177807262
Pop4,4,901,0.00076,0.086,0.679,0.321,0.7,1,0.7,0.917411003,0.589368045,0.297340043,0.422036127,0.06798864,0.13388272
Pop3,3,674,0.00265,0.056,0.544,0.456,0.85,1,0.85,0.72210781,0.498350294,0.207564512,0.429193522,0.054472845,0.127211329
Pop5,5,572,0.00117,0.031,0.51,0.49,0.78,0.9,0.87,0.619865367,0.332418486,0.53585341,0.473084203,0.165458646,0.064936957
Pop3,5,1216,0.00108,0.065,0.545,0.455,0.97,0.87,1.11,0.837615171,0.388073281,0.516439773,0.317701586,0.1584279,0.052404223
Pop5,2,840,0.00113,0.044,0.358,0.642,0.94,0.94,1,1.442909704,0.573303505,0.631612173,0.180112807,0.148365346,0.194552778
Pop2,5,500,0.00285,0.02,0.5,0.5,0.77,0.91,0.85,0.823202932,0.330452344,0.734154832,0.346713443,0.004060861,0.106547925
Pop3,1,637,0.00078,0.029,0.516,0.484,0.81,0.81,1,1.018790622,0.640482766,0.247643951,0.397152597,0.182194514,0.140481959
Pop4,4,894,0.00446,0.082,0.413,0.587,0.89,0.87,1.02,1.203018959,0.498058611,0.638897894,0.395166957,0.080882603,0.061957261
Pop5,5,790,0.00297,0.083,0.393,0.607,0.96,0.83,1.16,0.863629602,0.492234631,0.312447166,0.30857961,0.166263997,0.152467143
Pop2,1,1845,0.00466,0.044,0.505,0.495,0.82,0.81,1.01,1.471782083,0.536963114,0.714906232,0.127383488,0.139144607,0.189885006
Pop5,4,827,0.00205,0.09,0.647,0.353,0.7,0.79,0.89,1.462447295,0.629872386,0.691438108,0.248445175,0.085682731,0.136349788
Pop4,2,1080,0.00423,0.03,0.497,0.503,0.79,0.86,0.92,0.751782296,0.439123683,0.524476253,0.468306643,0.033644067,0.068917298
Pop3,2,1926,0.00477,0.066,0.481,0.519,0.98,0.86,1.14,0.997248506,0.571206461,0.626145679,0.333779564,0.023604724,0.137258229
Pop3,2,1781,0.00093,0.028,0.474,0.526,0.76,0.74,1.03,0.80087831,0.526292786,0.388610068,0.315332777,0.207879583,0.164952082
Pop3,3,629,0.00318,0.063,0.608,0.392,0.84,0.83,1.01,0.784840494,0.406811308,0.482700739,0.207541406,0.229599386,0.11096248
Pop5,2,1023,0.00192,0.055,0.696,0.304,0.87,0.71,1.23,0.536886947,0.651451995,0.692982139,0.247379568,0.162447012,0.181975662
Pop4,1,668,0.00165,0.038,0.611,0.389,0.78,0.77,1.01,1.109564334,0.618970409,0.475559118,0.458138436,0.025858529,0.147302443
Pop1,1,1164,0.0007,0.073,0.434,0.566,0.78,0.84,0.93,1.002679023,0.563380734,0.414678959,0.366585219,0.100506804,0.184887338
Pop2,1,1463,0.00367,0.072,0.433,0.567,0.73,0.84,0.87,0.551478751,0.640232692,0.496527468,0.414954811,0.1822348,0.143525797
Pop3,1,1885,0.00346,0.064,0.33,0.67,0.73,0.79,0.92,0.778646464,0.64691768,0.696949551,0.281738169,0.194955221,0.069693196
Pop5,1,1135,0.00192,0.088,0.61,0.39,0.7,0.85,0.82,1.408265886,0.583345191,0.401124828,0.352098888,0.029554656,0.096453757
Pop5,2,1576,0.00397,0.096,0.468,0.532,0.97,0.88,1.1,0.739561891,0.634805331,0.304256956,0.199353443,7.68E-06,0.080269242
Pop3,4,643,0.00303,0.054,0.507,0.493,0.87,0.9,0.97,0.644894872,0.578988585,0.627208412,0.382184332,0.178034261,0.186323975
Pop5,2,1418,0.00462,0.047,0.676,0.324,0.74,0.78,0.95,0.98945276,0.572056309,0.695586928,0.271040533,0.089149044,0.16406001
Pop1,5,1557,0.00132,0.047,0.44,0.56,0.83,0.71,1.17,1.485650454,0.547444551,0.260382487,0.277018206,0.063620333,0.151459755
Pop1,1,1487,0.00476,0.067,0.69,0.31,0.93,0.97,0.96,0.742055272,0.601086656,0.343924468,0.35972893,0.003224367,0.095144948
Pop5,5,580,0.002,0.018,0.666,0.334,0.97,0.81,1.2,1.172135547,0.363442042,0.285183194,0.474512249,0.135074852,0.077606716
Pop1,3,1617,0.00411,0.086,0.348,0.652,0.92,0.7,1.31,1.261619615,0.652348304,0.408764847,0.125602539,0.212787684,0.163467663
Pop4,4,1852,0.00281,0.056,0.451,0.549,0.72,0.7,1.03,0.737637544,0.648737411,0.470210587,0.429897295,0.239407912,0.121123692
Pop1,4,1455,0.00499,0.055,0.549,0.451,0.87,0.91,0.96,1.228216349,0.311698913,0.649295802,0.216953244,0.141436238,0.083868433
Pop5,4,1729,0.00491,0.053,0.432,0.568,0.76,0.85,0.89,0.867783133,0.6303267,0.590688551,0.277567782,0.128615332,0.142493297
Pop4,3,662,0.00316,0.062,0.5,0.5,0.78,0.76,1.03,1.132305831,0.351547947,0.57255714,0.108765332,0.021264096,0.056050078
Pop2,5,1625,0.00165,0.032,0.406,0.594,0.74,0.94,0.79,1.133529711,0.434047542,0.411424968,0.220418431,0.1372182,0.098925538
Pop3,2,667,0.00404,0.064,0.353,0.647,0.97,0.86,1.13,1.035774684,0.597403303,0.704868532,0.301052497,0.09499477,0.120283549
Pop5,2,1274,0.00343,0.05,0.323,0.677,0.98,0.78,1.26,0.59028977,0.364303958,0.4827723,0.122470431,0.15178382,0.07219375
Pop5,2,1532,0.00318,0.057,0.696,0.304,0.78,0.98,0.8,1.335302496,0.62718681,0.787462963,0.296438292,0.097181587,0.197698172
Pop1,3,1150,0.00147,0.021,0.402,0.598,0.72,0.91,0.79,0.820780065,0.632853671,0.580485283,0.470844252,0.060074781,0.081364605
Pop2,2,1474,0.00284,0.091,0.462,0.538,0.95,0.82,1.16,0.68651851,0.502987094,0.275758845,0.142157287,0.023741319,0.06955297
Pop3,1,1181,0.00482,0.075,0.668,0.332,0.83,0.85,0.98,0.540775142,0.302554349,0.605706537,0.405776291,0.078729611,0.080530231
Pop5,1,1243,0.00451,0.1,0.417,0.583,0.81,0.86,0.94,1.090892943,0.414815253,0.395062409,0.263868421,0.024161209,0.16535917
Pop2,4,865,0.00426,0.062,0.549,0.451,0.89,0.75,1.19,1.177564362,0.546770767,0.611796318,0.362069486,0.044224238,0.113825849
Pop4,5,1584,0.0011,0.044,0.457,0.543,0.88,0.83,1.06,0.516587829,0.692474471,0.241784689,0.204094639,0.24683404,0.134812391
Pop5,4,1957,0.0029,0.011,0.369,0.631,0.82,0.86,0.95,1.012093058,0.552725411,0.304928862,0.163796905,0.111025889,0.053151374
Pop5,1,529,0.00198,0.057,0.365,0.635,0.76,0.86,0.88,0.726495775,0.403921432,0.713442355,0.164185046,0.132967942,0.055164696
Pop2,3,1785,0.00159,0.085,0.528,0.472,0.99,0.76,1.3,1.14517279,0.553602281,0.336307734,0.128196778,0.218404632,0.116873832
Pop3,1,1972,0.00478,0.056,0.456,0.544,0.9,0.91,0.99,0.674366429,0.515994152,0.702224675,0.174258682,0.248892225,0.172498286
Pop4,5,743,0.00211,0.018,0.666,0.334,0.91,0.88,1.03,1.190937738,0.611938158,0.367565653,0.365687754,0.145678612,0.182785832
Pop4,4,1557,0.00456,0.08,0.622,0.378,0.82,0.96,0.85,0.886735346,0.342792256,0.585729146,0.452676245,0.203118455,0.063005985
Pop4,1,695,0.00458,0.011,0.526,0.474,0.75,0.93,0.81,1.436729989,0.604411161,0.616490344,0.425650274,0.081735256,0.130754465
Pop4,4,1745,0.00215,0.025,0.65,0.35,0.98,0.72,1.36,0.637520944,0.516506631,0.507592852,0.374053724,0.076435989,0.186984453
Pop3,1,706,0.0031,0.04,0.373,0.627,0.74,0.9,0.82,0.841066351,0.685196802,0.383186406,0.144172745,0.10067593,0.108195913
Pop1,2,1098,0.0008,0.035,0.46,0.54,0.98,0.71,1.38,0.613473521,0.436748866,0.327586626,0.215674979,0.168126816,0.174434875
Pop2,5,1084,0.00103,0.011,0.317,0.683,0.98,0.85,1.15,1.424693618,0.553048757,0.219913613,0.22392275,0.170547922,0.070054348
Pop2,1,1620,0.00325,0.023,0.513,0.487,0.78,0.82,0.95,1.377339353,0.672811242,0.382367841,0.199982779,0.078809859,0.190309173
